0922最后一次登陆前的等级,角色id,churn,角色,0922最后一次登陆后的等级,0922最后一次登陆升了多少等级,2日充值总值,战力,天书炼魔阵次数,仙门试炼次数,仙门试炼最高级,天书护送李英琼次数,天书保护苦行头陀次数,天书血魔幻境次数,天书圣焰战场次数,天书蟠桃园次数,banggong,isparty,首次炼魔阵等级,ispvp,isforge,Forge_time,Forge_success_rate,法宝修炼次数,融合法宝次数,玩家地区,kill_time,death_time,duanzao+1,duanzao+2,duanzao+3,duanzao+4,duanzao+5,duanzao+6,duanzao+7,duanzao+8,duanzao+9,duanzao+10,duanzao+11,duanzao+12,duanzao+13,whether_have_any_duanzao_+5
42,8102028180819673088,0,青城,42,0,60.0,63337.0,2,21,20,1,0,2,0,1,6160.0,1,36.0,0.0,1.0,66.0,100.0,45.0,10.0,菲律宾,1.0,1.0,1,0,0,4,5,1,4,2,0,0,0,0,0,1
45,8102028180819705856,0,百花,45,0,60.0,94826.0,2,31,26,2,2,2,10,2,0.0,0,18.0,1.0,1.0,109.0,85.0,71.0,6.0,美国,43.0,58.0,1,0,0,3,5,4,1,1,0,0,0,0,0,1
44,8102028180821737472,0,武尊,44,0,60.0,76573.0,2,10,10,2,2,2,0,0,2430.0,1,37.0,0.0,1.0,63.0,34.0,34.0,5.0,菲律宾,0.0,0.0,0,0,0,4,0,0,1,2,0,0,0,0,0,1
45,8102028180822032384,0,百花,45,0,540.0,86955.0,2,56,27,2,3,2,3,2,0.0,0,37.0,1.0,1.0,118.0,27.0,97.0,11.0,菲律宾,4.0,24.0,1,0,0,3,4,1,1,1,0,0,0,0,0,1
45,8102028180823965698,0,百花,45,0,60.0,96255.0,2,62,33,2,2,2,2,2,0.0,0,38.0,1.0,1.0,88.0,30.0,41.0,14.0,菲律宾,22.0,18.0,0,0,0,2,5,4,0,2,0,0,0,0,0,1
42,8102028180826390528,0,峨嵋,44,2,60.0,71501.0,2,28,26,2,2,2,0,1,2470.0,1,36.0,0.0,1.0,72.0,85.0,40.0,2.0,菲律宾,5.0,6.0,0,0,0,3,0,0,1,2,0,0,0,0,0,1
45,8102028180826619904,0,武尊,45,0,60.0,96792.0,2,36,32,2,2,2,21,2,0.0,0,36.0,1.0,1.0,85.0,70.0,57.0,5.0,菲律宾,150.0,143.0,0,0,0,4,1,0,1,2,0,0,0,0,0,1
45,8102028180827701248,0,峨嵋,45,0,720.0,98597.0,2,35,25,2,2,3,10,2,1730.0,1,35.0,1.0,1.0,89.0,82.0,38.0,9.0,菲律宾,78.0,109.0,1,0,0,3,2,0,1,1,0,0,0,0,0,1
45,8102028180830814208,0,百花,45,0,6600.0,116850.0,2,41,33,2,2,2,4,2,0.0,0,35.0,1.0,1.0,126.0,60.0,42.0,7.0,Others,43.0,32.0,0,0,0,3,0,0,1,2,0,0,0,0,0,1
45,8102028180845854720,0,青城,45,0,0.0,94926.0,2,66,30,2,2,3,4,2,1075.0,1,37.0,1.0,1.0,94.0,30.0,44.0,10.0,菲律宾,17.0,31.0,1,0,0,3,2,0,1,2,0,0,0,0,0,1
45,8102028180848967680,0,青城,45,0,60.0,86145.0,2,18,18,2,2,2,3,1,3250.0,1,38.0,1.0,1.0,92.0,30.0,60.0,11.0,菲律宾,36.0,39.0,1,0,0,4,5,3,1,2,0,0,0,0,0,1
44,8102028180855193600,0,百花,44,0,0.0,69454.0,2,50,25,3,3,3,2,2,0.0,0,37.0,1.0,1.0,57.0,70.0,29.0,8.0,菲律宾,1.0,16.0,1,0,0,4,2,0,1,2,0,0,0,0,0,1
44,8102028180887044096,0,武尊,45,1,0.0,74112.0,2,28,26,2,2,2,2,1,1540.0,1,25.0,1.0,1.0,47.0,80.0,113.0,2.0,菲律宾,8.0,12.0,0,0,0,4,0,0,1,2,0,0,0,0,0,1
43,8102028180905394176,1,仙禽,45,2,120.0,78426.0,2,25,24,3,3,3,8,1,0.0,0,36.0,1.0,1.0,61.0,84.0,41.0,4.0,菲律宾,86.0,22.0,1,0,0,4,3,0,1,2,0,0,0,0,0,1
6,8102028180915290112,1,武尊,9,3,0.0,2995.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,菲律宾,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,8102028180943339520,1,仙禽,35,0,0.0,29144.0,0,0,0,0,0,0,0,1,300.0,1,0.0,0.0,1.0,9.0,100.0,29.0,1.0,菲律宾,0.0,1.0,0,0,0,1,0,0,1,2,0,0,0,0,0,1
22,8102028180960772097,1,武尊,33,11,0.0,12088.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,菲律宾,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,8102028180960968704,1,峨嵋,36,4,0.0,48967.0,1,10,10,1,1,1,0,0,0.0,0,28.0,0.0,1.0,48.0,27.0,23.0,8.0,Others,0.0,0.0,1,0,0,4,3,0,1,2,0,0,0,0,0,1
45,8102028180967391232,0,峨嵋,45,0,60.0,93658.0,2,39,31,3,2,3,7,2,0.0,0,38.0,1.0,1.0,86.0,70.0,74.0,3.0,菲律宾,82.0,58.0,0,0,0,3,0,0,1,2,0,0,0,0,0,1
